Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,0,0,0,0,0,4.486935566,5.993150685,6.548072045
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Gas,GW/yr,0,0,0,109.5444369,5.849414022,10.19048734,9.065303099,9.149504367
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,0,0,0,0,1.284246575,4.47108067,6.508434805,7.697552004
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,0,0,0,109.5444369,4.565167446,5.719406672,2.556868294,1.451952363
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Geothermal,GW/yr,0,0,0,1.359944159,0.168738584,0.22369405,0.092580472,0.029592522
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Nuclear,GW/yr,0,0,0,0,0.826092931,2.189453323,1.211951773,0.640580782
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Solar,GW/yr,0,0,0,127.8539346,16.18981437,28.78553049,20.71925628,17.33448859
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Solar|CSP,GW/yr,0,0,0,0.096156492,0.007011248,0.054111917,0.035020085,0.031313378
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Solar|PV,GW/yr,0,0,0,127.7577782,16.18280313,28.73141857,20.68423619,17.30317521
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Wind,GW/yr,0,0,0,86.65501589,19.0466219,24.51034779,10.53188286,3.784750448
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Wind|Offshore,GW/yr,0,0,0,0,0.745622941,1.82515874,1.396479705,1.071910602
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Wind|Onshore,GW/yr,0,0,0,86.65501589,18.30099895,22.68518905,9.135403156,2.712839846
GCAM 7.0,WM_050224,USA,Capacity|Electricity,GW,55612.51457,23543.91461,19117.93035,7687.000824,6866.683187,6391.13243,6248.999986,6693.628071
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Biomass,GW,216.8998006,220.8360694,244.1523417,158.9999863,56.57179042,69.86170019,78.64835822,110.2660616
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Biomass|w/o CCS,GW,216.8998006,220.8360694,244.1523417,158.9999863,56.57179042,69.86170019,78.64835822,110.2660616
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Coal,GW,5775.980211,5343.41981,3937.854733,2086.000015,1338.540695,612.8921503,329.156563,331.9800012
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Coal|w/ CCS,GW,0,0,0,0,0,22.43467783,29.96575342,32.74036022
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Coal|w/o CCS,GW,5775.980211,5343.41981,3937.854733,2086.000015,1338.540695,590.4574725,299.1908096,299.2396409
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Gas,GW,842.0151923,1109.142201,1520.231349,1837.000524,1744.739632,1643.682259,1491.021653,1319.400041
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Gas|w/ CCS,GW,0,0,0,0,6.421232877,22.35540335,32.54217402,38.48776002
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Gas|w/o CCS,GW,842.0151923,1109.142201,1520.231349,1837.000524,1738.318399,1621.326856,1458.479479,1280.912281
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Geothermal,GW,7.353211642,7.70331472,8.203919388,15,15.83552381,16.94870182,17.41151004,17.56905541
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Hydro,GW,1435.623727,1381.987014,1322.716426,1335,1347.285038,1359.568612,1371.852187,1384.137225
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Nuclear,GW,441.8461568,457.2138617,452.3175793,418,402.5226254,384.8739684,351.8018338,305.8863382
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Oil,GW,46867.01866,14889.90965,11286.99877,419.000309,374.6260712,463.284511,642.1036727,1192.120946
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Oil|w/o CCS,GW,46867.01866,14889.90965,11286.99877,419.000309,374.6260712,463.284511,642.1036727,1192.120946
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Solar,GW,2.5377714,10.04055796,94.73031635,733.9999896,807.3287015,938.2356786,1012.559946,1058.900387
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Solar|CSP,GW,1.096803048,1.617594069,6.519207144,6.999989602,7.035045845,7.305605432,7.480705859,7.637272748
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Solar|PV,GW,1.440968352,8.422963891,88.21110921,727,800.2936557,930.9300732,1005.07924,1051.263115
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Wind,GW,23.23984532,123.6621353,250.7249206,684,779.2331095,901.7848484,954.4442627,973.368015
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Wind|Offshore,GW,0,0,0,0,3.728114706,12.85390841,19.83630693,25.19585994
GCAM 7.0,WM_050224,USA,Capacity|Electricity|Wind|Onshore,GW,23.23984532,123.6621353,250.7249206,684,775.5049948,888.93094,934.6079558,948.172155
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Biomass|w/ CCS,US$2010/kW,7113.648032,7113.648032,7113.648032,6773.135388,6464.898824,6187.324536,5935.571112,5709.638552
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Biomass|w/o CCS,US$2010/kW,4297.560052,4297.560052,4297.560052,4157.159104,4028.054784,3911.860896,3806.963636,3711.7492
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Coal|w/ CCS,US$2010/kW,5406.2434,5406.2434,5406.2434,5220.65594,5060.889344,4917.260788,4791.384076,4683.259208
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Coal|w/o CCS,US$2010/kW,3395.443616,3395.443616,3395.443616,3309.912004,3235.67702,3171.12486,3116.255524,3066.2276
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Gas|w/ CCS,US$2010/kW,1939.792408,1939.792408,1939.792408,1862.329816,1794.550048,1733.225496,1684.811376,1639.624864
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Gas|w/o CCS,US$2010/kW,861.771336,861.771336,861.771336,808.515804,771.398312,747.191252,727.825604,714.915172
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Geothermal,US$2010/kW,4308.85668,4308.85668,4308.85668,4037.737608,3818.260264,3637.514216,3492.271856,3372.85036
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Nuclear,US$2010/kW,5414.31242,5414.31242,5501.457836,5453.043716,5406.2434,5362.670692,5320.711788,5280.366688
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Solar|CSP,US$2010/kW,5861.336128,5861.336128,5861.336128,4688.10062,3887.653836,3343.801888,2971.013164,2717.645936
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Solar|PV,US$2010/kW,3922.619589,3922.619589,3922.619589,2984.461531,2375.519488,1975.296096,1708.480501,1528.810323
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Wind|Offshore,US$2010/kW,3608.465744,3608.465744,3608.465744,3069.455208,2649.866168,2327.105368,2078.579552,1884.923072
GCAM 7.0,WM_050224,USA,Capital Cost|Electricity|Wind|Onshore,US$2010/kW,3440.630128,3440.630128,3440.630128,2956.488928,2582.0864,2293.215484,2068.896728,1896.2197
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS,Mt CO2/yr,0,0,0,5.37E-07,13.84339257,177.5869542,234.6373691,255.788183
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0,0,0,0,0,1.23E-09,3.64E-09,5.50E-09
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Mt CO2/yr,0,0,0,0,0,1.23E-09,3.64E-09,5.50E-09
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0,0,0,5.37E-07,13.84339257,177.5869542,234.6373691,255.788183
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,0,0,0,5.37E-07,1.31E-06,4.74E-06,1.44E-05,2.64E-05
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,0,0,0,0,13.84339126,177.5869495,234.6373547,255.7881566
GCAM 7.0,WM_050224,USA,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,0,0,0,0,13.84339126,177.5869495,234.6373547,255.7881566
GCAM 7.0,WM_050224,USA,Emissions|BC,Mt BC/yr,0.234298875,0.207053138,0.178882516,0.158383833,0.182190858,0.134454357,0.11132909,0.103395587
GCAM 7.0,WM_050224,USA,Emissions|BC|AFOLU,Mt BC/yr,0.017950015,0.018146018,0.033210195,0.039253163,0.07982243,0.052929099,0.04900841,0.045904456
GCAM 7.0,WM_050224,USA,Emissions|BC|Energy,Mt BC/yr,0.208226831,0.1834292,0.140798771,0.11561521,0.098786008,0.077853398,0.058564811,0.053664501
GCAM 7.0,WM_050224,USA,Emissions|BC|Energy|Demand|Industry,Mt BC/yr,0.0773345,0.068145737,0.027267716,0.019559923,0.018060013,0.017504836,0.018037166,0.019460322
GCAM 7.0,WM_050224,USA,Emissions|BC|Energy|Demand|Transportation,Mt BC/yr,0.118579731,0.105959573,0.105520982,0.093416147,0.079341903,0.059167608,0.039455159,0.032883828
GCAM 7.0,WM_050224,USA,Emissions|BC|Energy|Supply,Mt BC/yr,0.0123126,0.00932389,0.008010073,0.00263914,0.001384093,0.001180954,0.001072486,0.001320352
GCAM 7.0,WM_050224,USA,Emissions|C2F6,kt C2F6/yr,0.297192,0.2380153,0.2757696,0.2938425,0.3077356,0.3244075,0.3389677,0.351964
GCAM 7.0,WM_050224,USA,Emissions|CF4,kt CF4/yr,0.42142,0.2626227,0.292492,0.312091,0.327305,0.345529,0.361559,0.375974
GCAM 7.0,WM_050224,USA,Emissions|CH4,Mt CH4/yr,27.15890265,27.26442548,25.67086474,26.36130109,27.26762671,27.97620727,28.96350356,30.08185194
GCAM 7.0,WM_050224,USA,Emissions|CH4|AFOLU,Mt CH4/yr,9.69931885,9.980311382,9.943488498,10.42595309,11.75318559,12.19740782,12.77163954,13.33147295
GCAM 7.0,WM_050224,USA,Emissions|CH4|Energy,Mt CH4/yr,11.4659517,11.60251372,10.56132764,10.63965187,10.14623389,10.30561795,10.62316363,11.10704348
GCAM 7.0,WM_050224,USA,Emissions|CH4|Energy|Demand|Industry,Mt CH4/yr,0.028515183,0.02393172,0.019093899,0.019372818,0.020366047,0.021083304,0.02200498,0.023386398
GCAM 7.0,WM_050224,USA,Emissions|CH4|Energy|Demand|Transportation,Mt CH4/yr,0.370537829,0.239133632,0.144548514,0.136716944,0.119146352,0.088585439,0.059114026,0.042534656
GCAM 7.0,WM_050224,USA,Emissions|CH4|Energy|Supply,Mt CH4/yr,11.06689869,11.33944837,10.39768523,10.48356204,10.00671399,10.19590832,10.54200765,11.04111265
GCAM 7.0,WM_050224,USA,Emissions|CH4|Other,Mt CH4/yr,5.9936321,5.681600374,5.1660486,5.29569614,5.36820723,5.4731815,5.5687004,5.64333551
GCAM 7.0,WM_050224,USA,Emissions|CO,Mt CO/yr,64.06471266,42.29773609,39.60616278,34.21879518,37.17634426,27.14948986,21.79404209,18.53244707
GCAM 7.0,WM_050224,USA,Emissions|CO|AFOLU,Mt CO/yr,3.094562521,3.314934585,5.982588236,7.13696299,14.41086834,9.593230204,8.885508129,8.323524155
GCAM 7.0,WM_050224,USA,Emissions|CO|Energy,Mt CO/yr,58.12761014,36.68101151,30.92249454,25.48913119,21.60332092,16.64084465,12.12509396,9.515622912
GCAM 7.0,WM_050224,USA,Emissions|CO|Energy|Demand|Industry,Mt CO/yr,17.62155569,9.328481255,7.858867532,4.375806188,3.298130046,2.737771764,2.55379085,2.553488988
GCAM 7.0,WM_050224,USA,Emissions|CO|Energy|Demand|Transportation,Mt CO/yr,39.36515467,26.02478724,21.60913376,20.0773155,17.40473093,12.96860244,8.589302636,5.905066026
GCAM 7.0,WM_050224,USA,Emissions|CO|Energy|Supply,Mt CO/yr,1.140899785,1.327743014,1.45449325,1.036009506,0.90045994,0.934470452,0.982000473,1.057067898
GCAM 7.0,WM_050224,USA,Emissions|CO2,Mt CO2/yr,5700.694573,5089.270565,4830.432887,4452.927052,4704.582824,4062.440979,3688.059036,3615.207708
GCAM 7.0,WM_050224,USA,Emissions|CO2|AFOLU,Mt CO2/yr,-233.3132455,-440.1407387,-336.3944532,-135.1483314,397.5469821,183.0199592,196.7179014,213.586199
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy,Mt CO2/yr,5873.792332,5490.284392,5126.228598,4539.208358,4256.151932,3825.475462,3434.761595,3342.358886
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5934.007818,5529.411304,5166.82734,4588.075384,4307.035842,3879.42102,3491.341135,3401.621509
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand,Mt CO2/yr,3206.61936,3005.06305,2977.675069,2960.429508,2909.725584,2654.28714,2359.358304,2265.49423
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|AFOFI,Mt CO2/yr,54.08388244,49.39833433,46.77967657,47.1796814,45.63758443,42.92536142,40.40824723,39.24373857
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,616.5151876,566.075383,553.7361191,576.8313512,620.8674542,648.3847858,678.6464046,732.7650209
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry|Cement,Mt CO2/yr,40.39223205,26.11650755,26.02338183,30.27814585,33.57757204,35.45725187,36.68384164,37.4218367
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry|Chemicals,Mt CO2/yr,99.303298,124.3915331,119.8786505,123.9109812,125.3019015,127.1521883,128.1172553,131.3300686
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals,Mt CO2/yr,1.454327415,0.577293715,0.656304394,0.856417757,0.892405897,0.929143604,0.959748396,0.980250235
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry|Other,Mt CO2/yr,407.3289137,355.261934,336.0505642,367.4685448,381.9329562,404.981769,430.9075511,481.3968913
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Industry|Steel,Mt CO2/yr,68.03641638,59.72811458,71.1272182,54.31726168,79.16261859,79.86443301,81.97800816,81.63597408
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,537.0503297,509.6292638,476.8742994,470.4362063,452.44874,429.5146634,427.1037746,441.4717497
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Buildings|Commercial,Mt CO2/yr,205.1206387,201.3446,201.5925048,201.6570833,201.4599651,202.6396216,202.6452612,210.6673948
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Buildings|Residential,Mt CO2/yr,331.929691,308.2846638,275.2817946,268.779123,250.9887749,226.8750418,224.4585134,230.804355
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,1998.969961,1879.960069,1900.284974,1865.982269,1790.771806,1533.462329,1213.199878,1052.013721
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Transportation|Freight,Mt CO2/yr,689.0057684,663.0018846,664.9378851,667.6998237,704.4136758,654.888166,539.0700975,519.4312804
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Demand|Transportation|Passenger,Mt CO2/yr,1309.964192,1216.958185,1235.347089,1198.282445,1086.35813,878.5741635,674.1297804,532.5824403
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Supply,Mt CO2/yr,2667.172972,2485.221342,2148.553529,1578.77885,1346.426348,1171.188322,1075.40329,1076.864656
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2478.917335,2331.14837,1934.96402,1369.9832,1132.075394,932.2187037,818.2679668,782.8916446
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Supply|Gases,Mt CO2/yr,34.10584466,38.80716301,38.99395907,37.98340522,39.50605834,41.86804787,42.84666433,44.07451193
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Supply|Liquids,Mt CO2/yr,154.1502683,115.2659559,174.5955867,170.323433,165.4751647,147.8088882,125.9800533,115.524232
GCAM 7.0,WM_050224,USA,Emissions|CO2|Energy|Supply|Solids,Mt CO2/yr,-0.000476666,-0.000146667,-3.67E-05,0,-0.00033,-0.000256667,0,-7.33E-05
GCAM 7.0,WM_050224,USA,Emissions|CO2|Industrial Processes,Mt CO2/yr,60.21548658,39.12691171,40.59874234,48.86702608,50.88391015,53.94555841,56.57954007,59.26262311
GCAM 7.0,WM_050224,USA,Emissions|F-Gases,Mt CO2-equiv/yr,47.99353409,32.87846815,28.11603277,30.55460921,31.36985745,34.18351471,34.98176974,35.46362258
GCAM 7.0,WM_050224,USA,Emissions|HFC,kt HFC134a-equiv/yr,13.21282155,16.56275524,17.0492544,16.28617164,16.38464072,17.63938867,17.87306422,18.02577112
GCAM 7.0,WM_050224,USA,Emissions|HFC|HFC134a,kt HFC134a/yr,4.56455,5.51576,5.75927,6.1581,6.16929,6.14605,6.17061,6.16606
GCAM 7.0,WM_050224,USA,Emissions|HFC|HFC227ea,kt HFC227ea/yr,0.163829,0.27365,0.337332,0.261629,0.266612,0.312393,0.319541,0.325561
GCAM 7.0,WM_050224,USA,Emissions|HFC|HFC23,kt HFC23/yr,1.36049507,0.54918424,0.2990961,0.3212845,0.3392306,0.3605623,0.3798862,0.39777
GCAM 7.0,WM_050224,USA,Emissions|HFC|HFC245fa,kt HFC245fa/yr,0,0,0,1.31954,1.3937,2.32197,2.44722,2.56327
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases,Mt CO2-equiv/yr,6718.232373,6085.546924,5786.247459,5440.227172,5786.940627,5192.210121,4857.855184,4826.782367
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|AFOLU,Mt CO2-equiv/yr,363.7987877,172.4623506,302.3156346,543.8585191,1188.080931,1020.471559,1081.738046,1145.596366
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Buildings,Mt CO2-equiv/yr,372.1829565,340.6219101,297.15048,283.5774325,262.5268811,234.9335153,217.4048948,211.6826201
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Cement,Mt CO2-equiv/yr,91.07181386,58.67874659,58.64282043,67.36355323,74.39948219,79.1556082,83.19648279,86.19809767
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Chemicals,Mt CO2-equiv/yr,111.0507848,134.413672,133.360761,142.2168207,142.1268365,144.210524,144.7028151,147.7485479
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Electricity,Mt CO2-equiv/yr,2513.782817,2364.908776,1964.589228,1387.83096,1146.788154,945.0123576,829.5132246,793.7085073
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Industry,Mt CO2-equiv/yr,792.85319,698.3507661,680.0356951,718.7055503,765.6236975,797.8278192,830.9316073,889.3399302
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Non-ferrous Metals,Mt CO2-equiv/yr,1.458384766,0.594799492,0.674296719,0.879808254,0.916829641,0.954607067,0.98610817,1.007262713
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Other,Mt CO2-equiv/yr,164.3216108,158.3487282,146.6796087,147.7495444,149.5035402,152.139017,154.5145017,156.2989803
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Other Energy Supply,Mt CO2-equiv/yr,463.3740369,435.7917072,471.4435505,469.625575,463.2365928,492.4620376,519.3021376,568.6504595
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Other Industry,Mt CO2-equiv/yr,521.0804305,444.7895765,416.1289411,453.8505654,468.8979545,493.5173764,519.9359372,572.61742
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Steel,Mt CO2-equiv/yr,68.19177602,59.87397144,71.22887577,54.39480269,79.28259469,79.98970349,82.1102641,81.7686019
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Supply,Mt CO2-equiv/yr,2977.156854,2800.700483,2436.032778,1857.456535,1610.024746,1437.474395,1348.815362,1362.358967
GCAM 7.0,WM_050224,USA,Emissions|Kyoto Gases|Transportation,Mt CO2-equiv/yr,2047.918975,1915.062685,1924.033263,1888.879591,1811.180831,1549.363815,1224.450772,1061.505504
GCAM 7.0,WM_050224,USA,Emissions|N2O,kt N2O/yr,1536.351824,1521.021739,1570.894008,1635.509608,1886.584698,1993.280569,2093.600509,2206.739439
GCAM 7.0,WM_050224,USA,Emissions|N2O|AFOLU,kt N2O/yr,1190.030409,1218.44062,1309.137166,1403.885984,1666.792985,1786.967801,1898.419987,2009.138735
GCAM 7.0,WM_050224,USA,Emissions|N2O|Energy,kt N2O/yr,241.1715047,206.4301107,164.6052726,128.9233025,112.8946189,94.29589757,78.62891465,77.00400331
GCAM 7.0,WM_050224,USA,Emissions|N2O|Other,kt N2O/yr,105.14991,96.151008,97.15157,102.700321,106.897094,112.016871,116.551607,120.596701
GCAM 7.0,WM_050224,USA,Emissions|NH3,Mt NH3/yr,3.503304792,3.707973854,3.314036697,3.540346193,4.106088151,4.327925797,4.576588858,4.835517177
GCAM 7.0,WM_050224,USA,Emissions|NH3|AFOLU,Mt NH3/yr,3.105505901,3.435339897,3.09484083,3.3237485,3.898909073,4.135714176,4.400386607,4.667632479
GCAM 7.0,WM_050224,USA,Emissions|NH3|Energy,Mt NH3/yr,0.191890792,0.172457626,0.151301475,0.144766515,0.132287428,0.113609334,0.094212828,0.082809951
GCAM 7.0,WM_050224,USA,Emissions|NH3|Energy|Demand|Industry,Mt NH3/yr,0.012396498,0.012396171,0.014160304,0.014253406,0.014968257,0.016078727,0.017584864,0.019724172
GCAM 7.0,WM_050224,USA,Emissions|NH3|Energy|Demand|Transportation,Mt NH3/yr,0.148307433,0.129879711,0.109445737,0.104219587,0.092214931,0.071648901,0.051741762,0.038454026
GCAM 7.0,WM_050224,USA,Emissions|NH3|Energy|Supply,Mt NH3/yr,0.031186861,0.030181745,0.027695435,0.026293522,0.025104239,0.025881706,0.024886202,0.024631752
GCAM 7.0,WM_050224,USA,Emissions|NOx,Mt NO2/yr,19.60673668,14.27246272,11.66436674,7.993927559,6.633306386,5.143664176,4.083218312,3.720698785
GCAM 7.0,WM_050224,USA,Emissions|NOx|AFOLU,Mt NO2/yr,0.464249932,0.484429872,0.568111954,0.630609728,0.903887053,0.815622762,0.835465974,0.85962597
GCAM 7.0,WM_050224,USA,Emissions|NOx|Energy,Mt NO2/yr,18.45662775,13.25385825,10.60428038,7.068329731,5.511101533,4.153585514,3.096701637,2.725967615
GCAM 7.0,WM_050224,USA,Emissions|NOx|Energy|Demand|Industry,Mt NO2/yr,2.447205017,2.156351272,1.743948658,1.087494423,0.92203009,0.839089613,0.82465294,0.845196509
GCAM 7.0,WM_050224,USA,Emissions|NOx|Energy|Demand|Transportation,Mt NO2/yr,12.20134735,8.69412557,7.264296595,5.443516277,4.271673378,3.02108756,1.989833703,1.594778251
GCAM 7.0,WM_050224,USA,Emissions|NOx|Energy|Supply,Mt NO2/yr,3.808075385,2.403381404,1.59603513,0.537319031,0.317398065,0.29340834,0.282214994,0.285992856
GCAM 7.0,WM_050224,USA,Emissions|OC,Mt OC/yr,0.442764913,0.434032535,0.52079262,0.522543721,0.875024558,0.617481314,0.572422469,0.5432497
GCAM 7.0,WM_050224,USA,Emissions|OC|AFOLU,Mt OC/yr,0.167086647,0.192716502,0.324425185,0.391900973,0.762307302,0.517208151,0.48044324,0.451029809
GCAM 7.0,WM_050224,USA,Emissions|OC|Energy,Mt OC/yr,0.210069566,0.197107733,0.157030834,0.102267848,0.083801956,0.070635964,0.061663929,0.061333391
GCAM 7.0,WM_050224,USA,Emissions|OC|Energy|Demand|Industry,Mt OC/yr,0.091514827,0.093609327,0.057335226,0.045531682,0.041468311,0.040604428,0.041371352,0.044245367
GCAM 7.0,WM_050224,USA,Emissions|OC|Energy|Demand|Transportation,Mt OC/yr,0.051069129,0.045248323,0.046143408,0.040070125,0.034569889,0.025871085,0.017514577,0.013812799
GCAM 7.0,WM_050224,USA,Emissions|OC|Energy|Supply,Mt OC/yr,0.06748561,0.058250083,0.0535522,0.016666041,0.007763756,0.00416045,0.002778001,0.003275225
GCAM 7.0,WM_050224,USA,Emissions|PFC,kt CF4-equiv/yr,0.718612,0.500638,0.5682616,0.6059335,0.6350406,0.6699365,0.7005267,0.727938
GCAM 7.0,WM_050224,USA,Emissions|SF6,kt SF6/yr,0.5153895,0.3653397,0.260055,0.2539417,0.2560776,0.2732435,0.2676821,0.2536686
GCAM 7.0,WM_050224,USA,Emissions|Sulfur,Mt SO2/yr,13.53429518,7.720603064,4.087885663,1.556354744,1.039325231,0.671901403,0.508112003,0.456552371
GCAM 7.0,WM_050224,USA,Emissions|Sulfur|AFOLU,Mt SO2/yr,0.022840594,0.024773337,0.036097758,0.041188094,0.072393594,0.051584352,0.048464793,0.045977592
